flight_id,airline_code,airline_name,alliance,flight_numbers,origin,origin_city,destination,destination_city,departure_utc,arrival_utc,duration_minutes,stops,layover_airports,layover_minutes,cabin_class,price,currency,seats_available,aircraft_type,on_time_performance,baggage_included,refundable,demand_level,season,is_holiday_season,duration_hours,is_direct,price_per_hour,departure_hour_utc,is_redeye,layover_hours,inconvenience_score,price_norm,duration_minutes_norm,inconvenience_score_norm
F000013,EK,Emirates,none,EK5139,ICN,Seoul,DOH,Doha,2025-02-15 08:50:00+00:00,2025-02-15 18:18:00+00:00,568,0,,0,Economy,716.07,USD,7,A320neo,92,True,False,low,winter_low,False,9.47,True,75.61,8,False,0.0,0.4,0.038,0.1282,0.0214
F000014,TK,Turkish Airlines,star,TK6755;TK9566,ICN,Seoul,DOH,Doha,2025-02-15 07:50:00+00:00,2025-02-16 00:16:00+00:00,986,1,SIN,95,Economy,492.26,USD,6,B787-9,79,False,True,low,winter_low,False,16.43,False,29.96,7,False,1.58,3.84,0.0254,0.2342,0.3899
F000015,SQ,Singapore Airlines,star,SQ1882;SQ6387,ICN,Seoul,DOH,Doha,2025-02-15 07:20:00+00:00,2025-02-15 19:08:00+00:00,708,1,DXB,96,Economy,564.68,USD,7,A350-900,83,True,False,low,winter_low,False,11.8,False,47.85,7,False,1.6,3.65,0.0295,0.1637,0.3696
F000016,AI,Air India,star,AI3097;AI9363,ICN,Seoul,DOH,Doha,2025-02-15 07:20:00+00:00,2025-02-16 16:55:00+00:00,2015,1,LAX,212,Economy,489.57,USD,5,A320neo,85,True,False,low,winter_low,False,33.58,False,14.58,7,False,3.53,4.515,0.0253,0.4949,0.4622
F000017,LH,Lufthansa,star,LH1854;LH1199,FCO,Rome,GIG,Rio de Janeiro,2025-05-07 08:25:00+00:00,2025-05-08 12:50:00+00:00,1705,1,LAX,100,Economy,752.42,USD,4,B737-800,84,True,True,medium,shoulder,False,28.42,False,26.48,8,False,1.67,3.635,0.0401,0.4164,0.368
F000018,DL,Delta,skyteam,DL1895;DL3273;DL2256,FCO,Rome,GIG,Rio de Janeiro,2025-05-07 07:55:00+00:00,2025-05-08 07:27:00+00:00,1412,2,IST;AMS,311,Economy,525.78,USD,6,A380-800,73,False,False,medium,shoulder,False,23.53,False,22.35,7,False,5.18,7.94,0.0273,0.3421,0.8291
F000019,KL,KLM,skyteam,KL3513;KL9797;KL4406,FCO,Rome,GIG,Rio de Janeiro,2025-05-07 06:55:00+00:00,2025-05-09 09:39:00+00:00,3044,2,SFO;DXB,303,Economy,661.86,USD,7,B767-300,79,True,False,medium,shoulder,False,50.73,False,13.05,6,False,5.05,7.575,0.035,0.7557,0.79
F000020,BA,British Airways,oneworld,BA4229;BA8876,FCO,Rome,GIG,Rio de Janeiro,2025-05-07 06:55:00+00:00,2025-05-08 05:18:00+00:00,1343,1,JFK,170,Economy,708.86,USD,8,B777-300ER,79,False,False,medium,shoulder,False,22.38,False,31.67,6,False,2.83,4.465,0.0376,0.3246,0.4569
F000021,KL,KLM,skyteam,KL8101,SIN,Singapore,AKL,Auckland,2025-05-30 10:35:00+00:00,2025-05-30 21:45:00+00:00,670,0,,0,Economy,953.79,USD,4,E190,86,False,True,medium,shoulder,False,11.17,True,85.39,10,False,0.0,0.7,0.0514,0.1541,0.0536
F000022,TG,Thai Airways,star,TG1842,SIN,Singapore,AKL,Auckland,2025-05-30 10:05:00+00:00,2025-05-30 21:15:00+00:00,670,0,,0,Business,3053.81,USD,7,B737-800,88,True,True,medium,shoulder,False,11.17,True,273.39,10,False,0.0,0.6,0.1694,0.1541,0.0428
F000023,AF,Air France,skyteam,AF9751,SIN,Singapore,AKL,Auckland,2025-05-30 09:35:00+00:00,2025-05-30 20:45:00+00:00,670,0,,0,Economy,811.37,USD,4,A350-900,88,True,False,medium,shoulder,False,11.17,True,72.64,9,False,0.0,0.6,0.0434,0.1541,0.0428
F000024,LH,Lufthansa,star,LH5839;LH9843;LH9577,SIN,Singapore,AKL,Auckland,2025-05-30 10:05:00+00:00,2025-06-01 01:59:00+00:00,2394,2,AMS;NRT,126,Premium Economy,1048.78,USD,6,E190,80,True,False,medium,shoulder,False,39.9,False,26.29,10,False,2.1,6.05,0.0567,0.591,0.6267
F000025,QR,Qatar Airways,oneworld,QR3331;QR2430;QR6869,SIN,Singapore,AKL,Auckland,2025-05-30 11:35:00+00:00,2025-06-01 03:53:00+00:00,2418,2,AMS;NRT,150,Economy,540.46,USD,4,B767-300,84,False,False,medium,shoulder,False,40.3,False,13.41,11,False,2.5,6.05,0.0281,0.5971,0.6267
F000026,UA,United Airlines,star,UA1418;UA7513,SIN,Singapore,AKL,Auckland,2025-05-30 11:35:00+00:00,2025-06-01 03:00:00+00:00,2365,1,FRA,151,Economy,698.48,USD,4,A350-900,85,False,False,medium,shoulder,False,39.42,False,17.72,11,False,2.52,4.01,0.037,0.5836,0.4081
F000027,UA,United Airlines,star,UA6468,DOH,Doha,AMS,Amsterdam,2025-12-10 22:25:00+00:00,2025-12-11 05:14:00+00:00,409,0,,0,Economy,583.16,USD,5,E190,87,True,False,medium,shoulder,False,6.82,True,85.51,22,False,0.0,0.65,0.0305,0.0879,0.0482
F000028,TG,Thai Airways,star,TG7792,DOH,Doha,AMS,Amsterdam,2025-12-10 22:25:00+00:00,2025-12-11 05:14:00+00:00,409,0,,0,Premium Economy,1061.2,USD,6,B767-300,92,True,False,medium,shoulder,False,6.82,True,155.6,22,False,0.0,0.4,0.0574,0.0879,0.0214
F000029,AF,Air France,skyteam,AF9444,DOH,Doha,AMS,Amsterdam,2025-12-10 22:55:00+00:00,2025-12-11 05:44:00+00:00,409,0,,0,Economy,468.41,USD,5,A350-900,87,True,False,medium,shoulder,False,6.82,True,68.68,22,False,0.0,0.65,0.0241,0.0879,0.0482
F000030,QF,Qantas,oneworld,QF1211;QF864;QF1177,DOH,Doha,AMS,Amsterdam,2025-12-10 20:25:00+00:00,2025-12-12 07:53:00+00:00,2128,2,HKG;JFK,127,Economy,340.51,USD,9,E190,76,False,True,medium,shoulder,False,35.47,False,9.6,20,False,2.12,6.26,0.0169,0.5236,0.6492
F000031,EK,Emirates,none,EK7917;EK1736;EK2273,DOH,Doha,AMS,Amsterdam,2025-12-10 22:55:00+00:00,2025-12-12 14:33:00+00:00,2378,2,CDG;SIN,294,Economy,403.05,USD,3,A350-900,80,True,False,medium,shoulder,False,39.63,False,10.17,22,False,4.9,7.45,0.0204,0.5869,0.7766
F000032,QF,Qantas,oneworld,QF1710;QF5781,DOH,Doha,AMS,Amsterdam,2025-12-10 21:25:00+00:00,2025-12-12 05:17:00+00:00,1912,1,LAX,160,Business,1307.54,USD,6,A320neo,90,True,True,medium,shoulder,False,31.87,False,41.03,21,False,2.67,3.835,0.0713,0.4688,0.3894
F000033,KL,KLM,skyteam,KL4369,HKG,Hong Kong,SFO,San Francisco,2025-04-04 13:50:00+00:00,2025-04-05 04:24:00+00:00,874,0,,0,Economy,1093.01,USD,7,A330-300,92,True,True,medium,shoulder,False,14.57,True,75.02,13,False,0.0,0.4,0.0592,0.2058,0.0214
F000034,QR,Qatar Airways,oneworld,QR1900,HKG,Hong Kong,SFO,San Francisco,2025-04-04 15:50:00+00:00,2025-04-05 06:24:00+00:00,874,0,,0,Economy,1188.3,USD,8,A321neo,90,True,False,medium,shoulder,False,14.57,True,81.56,15,False,0.0,0.5,0.0646,0.2058,0.0321
F000035,KE,Korean Air,skyteam,KE7113;KE9028,HKG,Hong Kong,SFO,San Francisco,2025-04-04 13:50:00+00:00,2025-04-05 16:32:00+00:00,1602,1,FRA,150,Economy,780.7,USD,7,A330-300,82,True,False,medium,shoulder,False,26.7,False,29.24,13,False,2.5,4.15,0.0416,0.3903,0.4231
F000036,JL,Japan Airlines,oneworld,JL9589;JL3885;JL2165,HKG,Hong Kong,SFO,San Francisco,2025-04-04 14:20:00+00:00,2025-04-06 10:48:00+00:00,2668,2,LAX;ICN,271,First,4562.42,USD,5,B787-9,80,True,True,medium,shoulder,False,44.47,False,102.6,14,False,4.52,7.26,0.2542,0.6604,0.7563
F000037,LH,Lufthansa,star,LH2573,NRT,Tokyo,PEK,Beijing,2025-07-16 10:25:00+00:00,2025-07-16 13:45:00+00:00,200,0,,0,Premium Economy,553.48,USD,3,A380-800,86,True,False,high,summer_peak,False,3.33,True,166.21,10,False,0.0,0.7,0.0289,0.035,0.0536
F000038,TG,Thai Airways,star,TG1850,NRT,Tokyo,PEK,Beijing,2025-07-16 09:55:00+00:00,2025-07-16 13:15:00+00:00,200,0,,0,First,1692.03,USD,4,A350-900,81,True,True,high,summer_peak,False,3.33,True,508.12,9,False,0.0,0.95,0.0929,0.035,0.0803
F000039,TK,Turkish Airlines,star,TK6637,NRT,Tokyo,PEK,Beijing,2025-07-16 09:55:00+00:00,2025-07-16 13:15:00+00:00,200,0,,0,Economy,351.39,USD,5,A350-900,80,False,False,high,summer_peak,False,3.33,True,105.52,9,False,0.0,1.0,0.0175,0.035,0.0857
F000040,LH,Lufthansa,star,LH7536;LH7186,NRT,Tokyo,PEK,Beijing,2025-07-16 09:55:00+00:00,2025-07-17 12:29:00+00:00,1594,1,FRA,228,Business,752.47,USD,4,A380-800,75,True,True,high,summer_peak,False,26.57,False,28.32,9,False,3.8,5.15,0.0401,0.3882,0.5303
F000041,CX,Cathay Pacific,oneworld,CX5474;CX274,NRT,Tokyo,PEK,Beijing,2025-07-16 10:25:00+00:00,2025-07-17 12:18:00+00:00,1553,1,FRA,187,Economy,306.68,USD,5,B787-9,80,False,True,high,summer_peak,False,25.88,False,11.85,10,False,3.12,4.56,0.015,0.3779,0.4671
F000042,KE,Korean Air,skyteam,KE6958;KE6990;KE5869,BOM,Mumbai,SVO,Moscow,2025-08-12 08:15:00+00:00,2025-08-13 22:14:00+00:00,2279,2,SFO;FRA,309,Economy,419.84,USD,6,A380-800,69,True,False,high,summer_peak,False,37.98,False,11.05,8,False,5.15,8.125,0.0214,0.5618,0.849
F000043,TK,Turkish Airlines,star,TK7769;TK4922;TK9082,BOM,Mumbai,SVO,Moscow,2025-08-12 08:15:00+00:00,2025-08-13 19:50:00+00:00,2135,2,CDG;HKG,237,Economy,489.16,USD,7,A330-300,74,False,False,high,summer_peak,False,35.58,False,13.75,8,False,3.95,7.275,0.0253,0.5253,0.7579
F000044,AF,Air France,skyteam,AF8794,DOH,Doha,MAA,Chennai,2026-01-21 16:00:00+00:00,2026-01-21 20:46:00+00:00,286,0,,0,Economy,373.1,USD,6,E190,86,True,True,low,winter_low,False,4.77,True,78.22,16,False,0.0,0.7,0.0187,0.0568,0.0536
F000045,TK,Turkish Airlines,star,TK1763,DOH,Doha,MAA,Chennai,2026-01-21 16:30:00+00:00,2026-01-21 21:16:00+00:00,286,0,,0,Premium Economy,627.69,USD,8,A330-300,88,True,False,low,winter_low,False,4.77,True,131.59,16,False,0.0,0.6,0.033,0.0568,0.0428
F000046,BA,British Airways,oneworld,BA2601,DOH,Doha,MAA,Chennai,2026-01-21 16:30:00+00:00,2026-01-21 21:16:00+00:00,286,0,,0,Economy,362.37,USD,5,B777-300ER,89,False,True,low,winter_low,False,4.77,True,75.97,16,False,0.0,0.55,0.0181,0.0568,0.0375
F000047,LH,Lufthansa,star,LH2040;LH4433,DOH,Doha,MAA,Chennai,2026-01-21 18:00:00+00:00,2026-01-22 09:52:00+00:00,952,1,IST,226,Economy,274.95,USD,7,A350-900,86,False,False,low,winter_low,False,15.87,False,17.33,18,False,3.77,4.585,0.0132,0.2255,0.4697
F000048,SQ,Singapore Airlines,star,SQ4963;SQ7731,DOH,Doha,MAA,Chennai,2026-01-21 16:00:00+00:00,2026-01-23 06:57:00+00:00,2337,1,LAX,174,Economy,295.11,USD,6,B777-300ER,89,True,False,low,winter_low,False,38.95,False,7.58,16,False,2.9,4.0,0.0144,0.5765,0.4071
F000049,NH,ANA,star,NH655;NH3595,DOH,Doha,MAA,Chennai,2026-01-21 16:30:00+00:00,2026-01-23 03:06:00+00:00,2076,1,JFK,179,Business,974.79,USD,9,B777-300ER,84,True,True,low,winter_low,False,34.6,False,28.17,16,False,2.98,4.29,0.0526,0.5104,0.4381
F000050,QR,Qatar Airways,oneworld,QR963;QR4837,DOH,Doha,MAA,Chennai,2026-01-21 18:00:00+00:00,2026-01-22 01:50:00+00:00,470,1,DXB,142,Economy,276.32,USD,6,B737-800,90,False,False,low,winter_low,False,7.83,False,35.29,18,False,2.37,3.685,0.0133,0.1034,0.3733
F000051,KL,KLM,skyteam,KL7883,FRA,Frankfurt,MAA,Chennai,2026-06-03 09:15:00+00:00,2026-06-03 19:24:00+00:00,609,0,,0,Economy,957.62,USD,6,A320neo,83,False,False,high,summer_peak,False,10.15,True,94.35,9,False,0.0,0.85,0.0516,0.1386,0.0696
F000052,NH,ANA,star,NH9869,FRA,Frankfurt,MAA,Chennai,2026-06-03 08:45:00+00:00,2026-06-03 18:54:00+00:00,609,0,,0,Premium Economy,2181.07,USD,7,A321neo,86,True,True,high,summer_peak,False,10.15,True,214.88,8,False,0.0,0.7,0.1204,0.1386,0.0536
F000053,SQ,Singapore Airlines,star,SQ1760,FRA,Frankfurt,MAA,Chennai,2026-06-03 10:45:00+00:00,2026-06-03 20:54:00+00:00,609,0,,0,Economy,1259.13,USD,7,A330-300,86,False,False,high,summer_peak,False,10.15,True,124.05,10,False,0.0,0.7,0.0685,0.1386,0.0536
F000054,AI,Air India,star,AI8255;AI9398,FRA,Frankfurt,MAA,Chennai,2026-06-03 09:15:00+00:00,2026-06-04 16:24:00+00:00,1869,1,SFO,60,Business,2454.21,USD,6,A320neo,74,True,True,high,summer_peak,False,31.15,False,78.79,9,False,1.0,3.8,0.1357,0.4579,0.3856
F000055,QR,Qatar Airways,oneworld,QR3577;QR2586;QR354,FRA,Frankfurt,MAA,Chennai,2026-06-03 11:15:00+00:00,2026-06-04 15:53:00+00:00,1718,2,NRT;SIN,276,Economy,689.67,USD,5,A320neo,79,True,False,high,summer_peak,False,28.63,False,24.09,11,False,4.6,7.35,0.0365,0.4197,0.7659
F000056,JL,Japan Airlines,oneworld,JL6472,GIG,Rio de Janeiro,SFO,San Francisco,2025-05-05 06:00:00+00:00,2025-05-05 19:57:00+00:00,837,0,,0,Economy,1087.54,USD,5,A380-800,89,False,True,medium,shoulder,False,13.95,True,77.96,6,False,0.0,0.55,0.0589,0.1964,0.0375
F000057,QR,Qatar Airways,oneworld,QR5281,GIG,Rio de Janeiro,SFO,San Francisco,2025-05-05 08:00:00+00:00,2025-05-05 21:57:00+00:00,837,0,,0,Premium Economy,2450.21,USD,5,E190,88,True,False,medium,shoulder,False,13.95,True,175.64,8,False,0.0,0.6,0.1355,0.1964,0.0428
F000058,TK,Turkish Airlines,star,TK2012,GIG,Rio de Janeiro,SFO,San Francisco,2025-05-05 07:00:00+00:00,2025-05-05 20:57:00+00:00,837,0,,0,Economy,1134.51,USD,5,A330-300,86,False,False,medium,shoulder,False,13.95,True,81.33,7,False,0.0,0.7,0.0615,0.1964,0.0536
F000059,NH,ANA,star,NH4132;NH6271;NH6446,GIG,Rio de Janeiro,SFO,San Francisco,2025-05-05 07:00:00+00:00,2025-05-06 13:49:00+00:00,1849,2,LHR;FRA,301,Premium Economy,1541.93,USD,8,B777-300ER,82,True,False,medium,shoulder,False,30.82,False,50.03,7,False,5.02,7.41,0.0844,0.4529,0.7724
F000060,KL,KLM,skyteam,KL8291;KL5782,GIG,Rio de Janeiro,SFO,San Francisco,2025-05-05 06:00:00+00:00,2025-05-06 12:58:00+00:00,1858,1,IST,201,Economy,736.26,USD,7,A321neo,86,False,False,medium,shoulder,False,30.97,False,23.77,6,False,3.35,4.375,0.0392,0.4551,0.4472
F000061,KE,Korean Air,skyteam,KE5918;KE1126;KE3915,GIG,Rio de Janeiro,SFO,San Francisco,2025-05-05 07:00:00+00:00,2025-05-06 21:59:00+00:00,2339,2,DOH;FRA,325,Economy,691.55,USD,6,E190,80,False,False,medium,shoulder,False,38.98,False,17.74,7,False,5.42,7.71,0.0366,0.577,0.8045
F000062,QR,Qatar Airways,oneworld,QR6694;QR8574,GIG,Rio de Janeiro,SFO,San Francisco,2025-05-05 08:00:00+00:00,2025-05-06 10:27:00+00:00,1587,1,CDG,147,Premium Economy,1709.77,USD,9,A330-300,87,True,True,medium,shoulder,False,26.45,False,64.64,8,False,2.45,3.875,0.0939,0.3865,0.3937
F000063,EK,Emirates,none,EK6156;EK7608;EK8076,SVO,Moscow,AKL,Auckland,2025-04-19 11:05:00+00:00,2025-04-21 08:04:00+00:00,2699,2,NRT;JFK,138,Economy,1025.1,USD,9,A321neo,84,False,False,medium,shoulder,False,44.98,False,22.79,11,False,2.3,5.95,0.0554,0.6683,0.616
F000064,KE,Korean Air,skyteam,KE2920;KE732,SVO,Moscow,AKL,Auckland,2025-04-19 10:35:00+00:00,2025-04-20 11:27:00+00:00,1492,1,SIN,149,Economy,1346.58,USD,5,B737-800,81,True,False,medium,shoulder,False,24.87,False,54.14,10,False,2.48,4.19,0.0735,0.3624,0.4274
F000065,AF,Air France,skyteam,AF7812;AF5407,SVO,Moscow,AKL,Auckland,2025-04-19 10:35:00+00:00,2025-04-20 11:45:00+00:00,1510,1,NRT,205,Business,4354.15,USD,5,A380-800,79,True,True,medium,shoulder,False,25.17,False,172.99,10,False,3.42,4.76,0.2425,0.367,0.4885
F000066,EK,Emirates,none,EK5384,SVO,Moscow,AMS,Amsterdam,2026-01-19 13:40:00+00:00,2026-01-19 17:00:00+00:00,200,0,,0,Economy,238.04,USD,5,B787-9,93,True,False,low,winter_low,False,3.33,True,71.48,13,False,0.0,0.35,0.0111,0.035,0.0161
F000067,DL,Delta,skyteam,DL3053,SVO,Moscow,AMS,Amsterdam,2026-01-19 12:40:00+00:00,2026-01-19 16:00:00+00:00,200,0,,0,Economy,221.01,USD,9,B787-9,84,False,True,low,winter_low,False,3.33,True,66.37,12,False,0.0,0.8,0.0102,0.035,0.0643
F000068,QR,Qatar Airways,oneworld,QR7574;QR8004,SVO,Moscow,AMS,Amsterdam,2026-01-19 14:10:00+00:00,2026-01-20 04:10:00+00:00,840,1,DOH,121,Economy,196.28,USD,4,A330-300,87,False,True,low,winter_low,False,14.0,False,14.02,14,False,2.02,3.66,0.0088,0.1972,0.3706
F000069,SQ,Singapore Airlines,star,SQ6909;SQ2757,SVO,Moscow,AMS,Amsterdam,2026-01-19 14:10:00+00:00,2026-01-20 16:10:00+00:00,1560,1,SFO,115,Business,551.42,USD,4,A380-800,86,True,True,low,winter_low,False,26.0,False,21.21,14,False,1.92,3.66,0.0288,0.3796,0.3706
F000070,NH,ANA,star,NH3676;NH4635,SVO,Moscow,AMS,Amsterdam,2026-01-19 12:10:00+00:00,2026-01-19 21:10:00+00:00,540,1,IST,166,Premium Economy,302.14,USD,8,A330-300,88,True,True,low,winter_low,False,9.0,False,33.57,12,False,2.77,3.985,0.0148,0.1211,0.4055
F000071,AA,American Airlines,oneworld,AA9650;AA5146,SVO,Moscow,AMS,Amsterdam,2026-01-19 12:10:00+00:00,2026-01-19 17:58:00+00:00,348,1,FRA,90,Business,560.9,USD,5,A320neo,81,True,True,low,winter_low,False,5.8,False,96.71,12,False,1.5,3.7,0.0293,0.0725,0.3749
F000072,EK,Emirates,none,EK6348;EK9542,BOM,Mumbai,PVG,Shanghai,2026-02-22 21:00:00+00:00,2026-02-23 12:59:00+00:00,959,1,NRT,237,Economy,388.06,USD,4,A380-800,87,False,False,low,winter_low,False,15.98,False,24.28,21,False,3.95,4.625,0.0196,0.2273,0.474
F000073,NH,ANA,star,NH418;NH1680,BOM,Mumbai,PVG,Shanghai,2026-02-22 20:00:00+00:00,2026-02-24 06:03:00+00:00,2043,1,JFK,134,Business,1308.27,USD,9,A350-900,82,True,True,low,winter_low,False,34.05,False,38.42,20,False,2.23,4.015,0.0713,0.502,0.4087
F000074,BA,British Airways,oneworld,BA8187;BA9699,BOM,Mumbai,PVG,Shanghai,2026-02-22 19:30:00+00:00,2026-02-23 18:29:00+00:00,1379,1,LHR,66,Economy,349.03,USD,8,A380-800,85,True,True,low,winter_low,False,22.98,False,15.19,19,False,1.1,3.3,0.0174,0.3338,0.3321
F000075,AA,American Airlines,oneworld,AA8576,DXB,Dubai,SVO,Moscow,2025-08-21 21:10:00+00:00,2025-08-22 02:28:00+00:00,318,0,,0,Economy,574.92,USD,3,B737-800,85,True,False,high,summer_peak,False,5.3,True,108.48,21,False,0.0,0.75,0.0301,0.0649,0.0589
F000076,UA,United Airlines,star,UA8796,DXB,Dubai,SVO,Moscow,2025-08-21 20:40:00+00:00,2025-08-22 01:58:00+00:00,318,0,,0,Premium Economy,894.77,USD,3,A321neo,81,True,False,high,summer_peak,False,5.3,True,168.82,20,False,0.0,0.95,0.0481,0.0649,0.0803
F000077,TG,Thai Airways,star,TG3794,DXB,Dubai,SVO,Moscow,2025-08-21 19:10:00+00:00,2025-08-22 00:28:00+00:00,318,0,,0,Business,1866.64,USD,3,B777-300ER,80,True,True,high,summer_peak,False,5.3,True,352.2,19,False,0.0,1.0,0.1027,0.0649,0.0857
F000078,QR,Qatar Airways,oneworld,QR866,DXB,Dubai,SVO,Moscow,2025-08-21 20:10:00+00:00,2025-08-22 01:28:00+00:00,318,0,,0,Economy,677.26,USD,2,A320neo,91,False,False,high,summer_peak,False,5.3,True,127.78,20,False,0.0,0.45,0.0358,0.0649,0.0268
F000079,TK,Turkish Airlines,star,TK5794;TK2835,DXB,Dubai,SVO,Moscow,2025-08-21 20:40:00+00:00,2025-08-22 08:12:00+00:00,692,1,AMS,65,Economy,397.87,USD,2,A320neo,78,False,False,high,summer_peak,False,11.53,False,34.51,20,False,1.08,3.64,0.0201,0.1597,0.3685
F000080,LH,Lufthansa,star,LH1539;LH9050,DXB,Dubai,SVO,Moscow,2025-08-21 18:40:00+00:00,2025-08-22 05:20:00+00:00,640,1,IST,202,Premium Economy,713.58,USD,4,B787-9,77,True,False,high,summer_peak,False,10.67,False,66.88,18,False,3.37,4.835,0.0379,0.1465,0.4965
F000081,LH,Lufthansa,star,LH8495;LH9044;LH6377,DXB,Dubai,SVO,Moscow,2025-08-21 18:40:00+00:00,2025-08-22 09:50:00+00:00,910,2,LHR;FRA,179,Premium Economy,613.62,USD,6,B777-300ER,71,True,True,high,summer_peak,False,15.17,False,40.45,18,False,2.98,6.94,0.0323,0.2149,0.722
F000082,QR,Qatar Airways,oneworld,QR6928,DOH,Doha,LAX,Los Angeles,2025-09-02 10:55:00+00:00,2025-09-03 04:16:00+00:00,1041,0,,0,Economy,1602.4,USD,5,B737-800,90,True,True,medium,shoulder,False,17.35,True,92.36,10,False,0.0,0.5,0.0878,0.2481,0.0321
F000083,EK,Emirates,none,EK1657,DOH,Doha,LAX,Los Angeles,2025-09-02 08:55:00+00:00,2025-09-03 02:16:00+00:00,1041,0,,0,Business,5762.4,USD,8,B787-9,96,True,True,medium,shoulder,False,17.35,True,332.13,8,False,0.0,0.2,0.3216,0.2481,0.0
F000084,JL,Japan Airlines,oneworld,JL6867,DOH,Doha,LAX,Los Angeles,2025-09-02 09:55:00+00:00,2025-09-03 03:16:00+00:00,1041,0,,0,Economy,1619.5,USD,9,A321neo,90,True,False,medium,shoulder,False,17.35,True,93.34,9,False,0.0,0.5,0.0888,0.2481,0.0321
F000085,TK,Turkish Airlines,star,TK4899;TK5882,DOH,Doha,LAX,Los Angeles,2025-09-02 08:55:00+00:00,2025-09-03 08:32:00+00:00,1417,1,JFK,232,Economy,991.21,USD,6,B767-300,83,False,False,medium,shoulder,False,23.62,False,41.96,8,False,3.87,4.785,0.0535,0.3434,0.4912
