flight_id,airline_code,airline_name,alliance,flight_numbers,origin,origin_city,destination,destination_city,departure_utc,arrival_utc,duration_minutes,stops,layover_airports,layover_minutes,cabin_class,price,currency,seats_available,aircraft_type,on_time_performance,baggage_included,refundable,demand_level,season,is_holiday_season,duration_hours,is_direct,price_per_hour,departure_hour_utc,is_redeye,layover_hours,reliability_penalty,flight_date,route_price_mean,route_price_std,route_price_median,price_norm,duration_minutes_norm,stops_norm,layover_hours_norm,reliability_penalty_norm
F000011,BA,British Airways,oneworld,BA1833;BA9867,BOM,Mumbai,LHR,London,2025-08-28 07:25:00+00:00,2025-08-29 10:08:00+00:00,1603,1,JFK,169,Economy,787.68,USD,7,E190,74,True,True,high,summer_peak,False,26.72,False,29.48,7,False,2.82,26,2025-08-28 00:00:00+00:00,1199.7,823.3,780.62,0.042,0.3905,0.5,0.3547,0.6875
F000012,QF,Qantas,oneworld,QF9113,ICN,Seoul,DOH,Doha,2025-02-15 08:20:00+00:00,2025-02-15 17:48:00+00:00,568,0,,0,Economy,684.67,USD,5,B767-300,94,True,True,low,winter_low,False,9.47,True,72.3,8,False,0.0,6,2025-02-15 00:00:00+00:00,897.07,549.68,716.07,0.0363,0.1282,0.0,0.0,0.0625
F000013,EK,Emirates,none,EK5139,ICN,Seoul,DOH,Doha,2025-02-15 08:50:00+00:00,2025-02-15 18:18:00+00:00,568,0,,0,Economy,716.07,USD,7,A320neo,92,True,False,low,winter_low,False,9.47,True,75.61,8,False,0.0,8,2025-02-15 00:00:00+00:00,897.07,549.68,716.07,0.038,0.1282,0.0,0.0,0.125
F000014,TK,Turkish Airlines,star,TK6755;TK9566,ICN,Seoul,DOH,Doha,2025-02-15 07:50:00+00:00,2025-02-16 00:16:00+00:00,986,1,SIN,95,Economy,492.26,USD,6,B787-9,79,False,True,low,winter_low,False,16.43,False,29.96,7,False,1.58,21,2025-02-15 00:00:00+00:00,897.07,549.68,716.07,0.0254,0.2342,0.5,0.1987,0.5312
F000015,SQ,Singapore Airlines,star,SQ1882;SQ6387,ICN,Seoul,DOH,Doha,2025-02-15 07:20:00+00:00,2025-02-15 19:08:00+00:00,708,1,DXB,96,Economy,564.68,USD,7,A350-900,83,True,False,low,winter_low,False,11.8,False,47.85,7,False,1.6,17,2025-02-15 00:00:00+00:00,897.07,549.68,716.07,0.0295,0.1637,0.5,0.2013,0.4062
F000016,AI,Air India,star,AI3097;AI9363,ICN,Seoul,DOH,Doha,2025-02-15 07:20:00+00:00,2025-02-16 16:55:00+00:00,2015,1,LAX,212,Economy,489.57,USD,5,A320neo,85,True,False,low,winter_low,False,33.58,False,14.58,7,False,3.53,15,2025-02-15 00:00:00+00:00,897.07,549.68,716.07,0.0253,0.4949,0.5,0.444,0.3438
F000017,LH,Lufthansa,star,LH1854;LH1199,FCO,Rome,GIG,Rio de Janeiro,2025-05-07 08:25:00+00:00,2025-05-08 12:50:00+00:00,1705,1,LAX,100,Economy,752.42,USD,4,B737-800,84,True,True,medium,shoulder,False,28.42,False,26.48,8,False,1.67,16,2025-05-07 00:00:00+00:00,1270.16,959.74,760.11,0.0401,0.4164,0.5,0.2101,0.375
F000018,DL,Delta,skyteam,DL1895;DL3273;DL2256,FCO,Rome,GIG,Rio de Janeiro,2025-05-07 07:55:00+00:00,2025-05-08 07:27:00+00:00,1412,2,IST;AMS,311,Economy,525.78,USD,6,A380-800,73,False,False,medium,shoulder,False,23.53,False,22.35,7,False,5.18,27,2025-05-07 00:00:00+00:00,1270.16,959.74,760.11,0.0273,0.3421,1.0,0.6516,0.7188
F000019,KL,KLM,skyteam,KL3513;KL9797;KL4406,FCO,Rome,GIG,Rio de Janeiro,2025-05-07 06:55:00+00:00,2025-05-09 09:39:00+00:00,3044,2,SFO;DXB,303,Economy,661.86,USD,7,B767-300,79,True,False,medium,shoulder,False,50.73,False,13.05,6,False,5.05,21,2025-05-07 00:00:00+00:00,1270.16,959.74,760.11,0.035,0.7557,1.0,0.6352,0.5312
F000020,BA,British Airways,oneworld,BA4229;BA8876,FCO,Rome,GIG,Rio de Janeiro,2025-05-07 06:55:00+00:00,2025-05-08 05:18:00+00:00,1343,1,JFK,170,Economy,708.86,USD,8,B777-300ER,79,False,False,medium,shoulder,False,22.38,False,31.67,6,False,2.83,21,2025-05-07 00:00:00+00:00,1270.16,959.74,760.11,0.0376,0.3246,0.5,0.356,0.5312
F000021,KL,KLM,skyteam,KL8101,SIN,Singapore,AKL,Auckland,2025-05-30 10:35:00+00:00,2025-05-30 21:45:00+00:00,670,0,,0,Economy,953.79,USD,4,E190,86,False,True,medium,shoulder,False,11.17,True,85.39,10,False,0.0,14,2025-05-30 00:00:00+00:00,1199.68,925.41,814.84,0.0514,0.1541,0.0,0.0,0.3125
F000022,TG,Thai Airways,star,TG1842,SIN,Singapore,AKL,Auckland,2025-05-30 10:05:00+00:00,2025-05-30 21:15:00+00:00,670,0,,0,Business,3053.81,USD,7,B737-800,88,True,True,medium,shoulder,False,11.17,True,273.39,10,False,0.0,12,2025-05-30 00:00:00+00:00,1199.68,925.41,814.84,0.1694,0.1541,0.0,0.0,0.25
F000023,AF,Air France,skyteam,AF9751,SIN,Singapore,AKL,Auckland,2025-05-30 09:35:00+00:00,2025-05-30 20:45:00+00:00,670,0,,0,Economy,811.37,USD,4,A350-900,88,True,False,medium,shoulder,False,11.17,True,72.64,9,False,0.0,12,2025-05-30 00:00:00+00:00,1199.68,925.41,814.84,0.0434,0.1541,0.0,0.0,0.25
F000024,LH,Lufthansa,star,LH5839;LH9843;LH9577,SIN,Singapore,AKL,Auckland,2025-05-30 10:05:00+00:00,2025-06-01 01:59:00+00:00,2394,2,AMS;NRT,126,Premium Economy,1048.78,USD,6,E190,80,True,False,medium,shoulder,False,39.9,False,26.29,10,False,2.1,20,2025-05-30 00:00:00+00:00,1199.68,925.41,814.84,0.0567,0.591,1.0,0.2642,0.5
F000025,QR,Qatar Airways,oneworld,QR3331;QR2430;QR6869,SIN,Singapore,AKL,Auckland,2025-05-30 11:35:00+00:00,2025-06-01 03:53:00+00:00,2418,2,AMS;NRT,150,Economy,540.46,USD,4,B767-300,84,False,False,medium,shoulder,False,40.3,False,13.41,11,False,2.5,16,2025-05-30 00:00:00+00:00,1199.68,925.41,814.84,0.0281,0.5971,1.0,0.3145,0.375
F000026,UA,United Airlines,star,UA1418;UA7513,SIN,Singapore,AKL,Auckland,2025-05-30 11:35:00+00:00,2025-06-01 03:00:00+00:00,2365,1,FRA,151,Economy,698.48,USD,4,A350-900,85,False,False,medium,shoulder,False,39.42,False,17.72,11,False,2.52,15,2025-05-30 00:00:00+00:00,1199.68,925.41,814.84,0.037,0.5836,0.5,0.317,0.3438
F000027,UA,United Airlines,star,UA6468,DOH,Doha,AMS,Amsterdam,2025-12-10 22:25:00+00:00,2025-12-11 05:14:00+00:00,409,0,,0,Economy,583.16,USD,5,E190,87,True,False,medium,shoulder,False,6.82,True,85.51,22,False,0.0,13,2025-12-10 00:00:00+00:00,725.62,563.47,523.75,0.0305,0.0879,0.0,0.0,0.2812
F000028,TG,Thai Airways,star,TG7792,DOH,Doha,AMS,Amsterdam,2025-12-10 22:25:00+00:00,2025-12-11 05:14:00+00:00,409,0,,0,Premium Economy,1061.2,USD,6,B767-300,92,True,False,medium,shoulder,False,6.82,True,155.6,22,False,0.0,8,2025-12-10 00:00:00+00:00,725.62,563.47,523.75,0.0574,0.0879,0.0,0.0,0.125
F000029,AF,Air France,skyteam,AF9444,DOH,Doha,AMS,Amsterdam,2025-12-10 22:55:00+00:00,2025-12-11 05:44:00+00:00,409,0,,0,Economy,468.41,USD,5,A350-900,87,True,False,medium,shoulder,False,6.82,True,68.68,22,False,0.0,13,2025-12-10 00:00:00+00:00,725.62,563.47,523.75,0.0241,0.0879,0.0,0.0,0.2812
F000030,QF,Qantas,oneworld,QF1211;QF864;QF1177,DOH,Doha,AMS,Amsterdam,2025-12-10 20:25:00+00:00,2025-12-12 07:53:00+00:00,2128,2,HKG;JFK,127,Economy,340.51,USD,9,E190,76,False,True,medium,shoulder,False,35.47,False,9.6,20,False,2.12,24,2025-12-10 00:00:00+00:00,725.62,563.47,523.75,0.0169,0.5236,1.0,0.2667,0.625
F000031,EK,Emirates,none,EK7917;EK1736;EK2273,DOH,Doha,AMS,Amsterdam,2025-12-10 22:55:00+00:00,2025-12-12 14:33:00+00:00,2378,2,CDG;SIN,294,Economy,403.05,USD,3,A350-900,80,True,False,medium,shoulder,False,39.63,False,10.17,22,False,4.9,20,2025-12-10 00:00:00+00:00,725.62,563.47,523.75,0.0204,0.5869,1.0,0.6164,0.5
F000032,QF,Qantas,oneworld,QF1710;QF5781,DOH,Doha,AMS,Amsterdam,2025-12-10 21:25:00+00:00,2025-12-12 05:17:00+00:00,1912,1,LAX,160,Business,1307.54,USD,6,A320neo,90,True,True,medium,shoulder,False,31.87,False,41.03,21,False,2.67,10,2025-12-10 00:00:00+00:00,725.62,563.47,523.75,0.0713,0.4688,0.5,0.3358,0.1875
F000033,KL,KLM,skyteam,KL4369,HKG,Hong Kong,SFO,San Francisco,2025-04-04 13:50:00+00:00,2025-04-05 04:24:00+00:00,874,0,,0,Economy,1093.01,USD,7,A330-300,92,True,True,medium,shoulder,False,14.57,True,75.02,13,False,0.0,8,2025-04-04 00:00:00+00:00,1754.86,1251.08,1188.93,0.0592,0.2058,0.0,0.0,0.125
F000034,QR,Qatar Airways,oneworld,QR1900,HKG,Hong Kong,SFO,San Francisco,2025-04-04 15:50:00+00:00,2025-04-05 06:24:00+00:00,874,0,,0,Economy,1188.3,USD,8,A321neo,90,True,False,medium,shoulder,False,14.57,True,81.56,15,False,0.0,10,2025-04-04 00:00:00+00:00,1754.86,1251.08,1188.93,0.0646,0.2058,0.0,0.0,0.1875
F000035,KE,Korean Air,skyteam,KE7113;KE9028,HKG,Hong Kong,SFO,San Francisco,2025-04-04 13:50:00+00:00,2025-04-05 16:32:00+00:00,1602,1,FRA,150,Economy,780.7,USD,7,A330-300,82,True,False,medium,shoulder,False,26.7,False,29.24,13,False,2.5,18,2025-04-04 00:00:00+00:00,1754.86,1251.08,1188.93,0.0416,0.3903,0.5,0.3145,0.4375
F000036,JL,Japan Airlines,oneworld,JL9589;JL3885;JL2165,HKG,Hong Kong,SFO,San Francisco,2025-04-04 14:20:00+00:00,2025-04-06 10:48:00+00:00,2668,2,LAX;ICN,271,First,4562.42,USD,5,B787-9,80,True,True,medium,shoulder,False,44.47,False,102.6,14,False,4.52,20,2025-04-04 00:00:00+00:00,1754.86,1251.08,1188.93,0.2542,0.6604,1.0,0.5686,0.5
F000037,LH,Lufthansa,star,LH2573,NRT,Tokyo,PEK,Beijing,2025-07-16 10:25:00+00:00,2025-07-16 13:45:00+00:00,200,0,,0,Premium Economy,553.48,USD,3,A380-800,86,True,False,high,summer_peak,False,3.33,True,166.21,10,False,0.0,14,2025-07-16 00:00:00+00:00,487.92,353.5,351.39,0.0289,0.035,0.0,0.0,0.3125
F000038,TG,Thai Airways,star,TG1850,NRT,Tokyo,PEK,Beijing,2025-07-16 09:55:00+00:00,2025-07-16 13:15:00+00:00,200,0,,0,First,1692.03,USD,4,A350-900,81,True,True,high,summer_peak,False,3.33,True,508.12,9,False,0.0,19,2025-07-16 00:00:00+00:00,487.92,353.5,351.39,0.0929,0.035,0.0,0.0,0.4688
F000039,TK,Turkish Airlines,star,TK6637,NRT,Tokyo,PEK,Beijing,2025-07-16 09:55:00+00:00,2025-07-16 13:15:00+00:00,200,0,,0,Economy,351.39,USD,5,A350-900,80,False,False,high,summer_peak,False,3.33,True,105.52,9,False,0.0,20,2025-07-16 00:00:00+00:00,487.92,353.5,351.39,0.0175,0.035,0.0,0.0,0.5
F000040,LH,Lufthansa,star,LH7536;LH7186,NRT,Tokyo,PEK,Beijing,2025-07-16 09:55:00+00:00,2025-07-17 12:29:00+00:00,1594,1,FRA,228,Business,752.47,USD,4,A380-800,75,True,True,high,summer_peak,False,26.57,False,28.32,9,False,3.8,25,2025-07-16 00:00:00+00:00,487.92,353.5,351.39,0.0401,0.3882,0.5,0.478,0.6562
F000041,CX,Cathay Pacific,oneworld,CX5474;CX274,NRT,Tokyo,PEK,Beijing,2025-07-16 10:25:00+00:00,2025-07-17 12:18:00+00:00,1553,1,FRA,187,Economy,306.68,USD,5,B787-9,80,False,True,high,summer_peak,False,25.88,False,11.85,10,False,3.12,20,2025-07-16 00:00:00+00:00,487.92,353.5,351.39,0.015,0.3779,0.5,0.3925,0.5
F000042,KE,Korean Air,skyteam,KE6958;KE6990;KE5869,BOM,Mumbai,SVO,Moscow,2025-08-12 08:15:00+00:00,2025-08-13 22:14:00+00:00,2279,2,SFO;FRA,309,Economy,419.84,USD,6,A380-800,69,True,False,high,summer_peak,False,37.98,False,11.05,8,False,5.15,31,2025-08-12 00:00:00+00:00,603.67,277.35,478.79,0.0214,0.5618,1.0,0.6478,0.8438
F000043,TK,Turkish Airlines,star,TK7769;TK4922;TK9082,BOM,Mumbai,SVO,Moscow,2025-08-12 08:15:00+00:00,2025-08-13 19:50:00+00:00,2135,2,CDG;HKG,237,Economy,489.16,USD,7,A330-300,74,False,False,high,summer_peak,False,35.58,False,13.75,8,False,3.95,26,2025-08-12 00:00:00+00:00,603.67,277.35,478.79,0.0253,0.5253,1.0,0.4969,0.6875
F000044,AF,Air France,skyteam,AF8794,DOH,Doha,MAA,Chennai,2026-01-21 16:00:00+00:00,2026-01-21 20:46:00+00:00,286,0,,0,Economy,373.1,USD,6,E190,86,True,True,low,winter_low,False,4.77,True,78.22,16,False,0.0,14,2026-01-21 00:00:00+00:00,582.58,431.77,412.48,0.0187,0.0568,0.0,0.0,0.3125
F000045,TK,Turkish Airlines,star,TK1763,DOH,Doha,MAA,Chennai,2026-01-21 16:30:00+00:00,2026-01-21 21:16:00+00:00,286,0,,0,Premium Economy,627.69,USD,8,A330-300,88,True,False,low,winter_low,False,4.77,True,131.59,16,False,0.0,12,2026-01-21 00:00:00+00:00,582.58,431.77,412.48,0.033,0.0568,0.0,0.0,0.25
F000046,BA,British Airways,oneworld,BA2601,DOH,Doha,MAA,Chennai,2026-01-21 16:30:00+00:00,2026-01-21 21:16:00+00:00,286,0,,0,Economy,362.37,USD,5,B777-300ER,89,False,True,low,winter_low,False,4.77,True,75.97,16,False,0.0,11,2026-01-21 00:00:00+00:00,582.58,431.77,412.48,0.0181,0.0568,0.0,0.0,0.2188
F000047,LH,Lufthansa,star,LH2040;LH4433,DOH,Doha,MAA,Chennai,2026-01-21 18:00:00+00:00,2026-01-22 09:52:00+00:00,952,1,IST,226,Economy,274.95,USD,7,A350-900,86,False,False,low,winter_low,False,15.87,False,17.33,18,False,3.77,14,2026-01-21 00:00:00+00:00,582.58,431.77,412.48,0.0132,0.2255,0.5,0.4742,0.3125
F000048,SQ,Singapore Airlines,star,SQ4963;SQ7731,DOH,Doha,MAA,Chennai,2026-01-21 16:00:00+00:00,2026-01-23 06:57:00+00:00,2337,1,LAX,174,Economy,295.11,USD,6,B777-300ER,89,True,False,low,winter_low,False,38.95,False,7.58,16,False,2.9,11,2026-01-21 00:00:00+00:00,582.58,431.77,412.48,0.0144,0.5765,0.5,0.3648,0.2188
F000049,NH,ANA,star,NH655;NH3595,DOH,Doha,MAA,Chennai,2026-01-21 16:30:00+00:00,2026-01-23 03:06:00+00:00,2076,1,JFK,179,Business,974.79,USD,9,B777-300ER,84,True,True,low,winter_low,False,34.6,False,28.17,16,False,2.98,16,2026-01-21 00:00:00+00:00,582.58,431.77,412.48,0.0526,0.5104,0.5,0.3748,0.375
F000050,QR,Qatar Airways,oneworld,QR963;QR4837,DOH,Doha,MAA,Chennai,2026-01-21 18:00:00+00:00,2026-01-22 01:50:00+00:00,470,1,DXB,142,Economy,276.32,USD,6,B737-800,90,False,False,low,winter_low,False,7.83,False,35.29,18,False,2.37,10,2026-01-21 00:00:00+00:00,582.58,431.77,412.48,0.0133,0.1034,0.5,0.2981,0.1875
F000051,KL,KLM,skyteam,KL7883,FRA,Frankfurt,MAA,Chennai,2026-06-03 09:15:00+00:00,2026-06-03 19:24:00+00:00,609,0,,0,Economy,957.62,USD,6,A320neo,83,False,False,high,summer_peak,False,10.15,True,94.35,9,False,0.0,17,2026-06-03 00:00:00+00:00,1350.79,1169.31,950.58,0.0516,0.1386,0.0,0.0,0.4062
F000052,NH,ANA,star,NH9869,FRA,Frankfurt,MAA,Chennai,2026-06-03 08:45:00+00:00,2026-06-03 18:54:00+00:00,609,0,,0,Premium Economy,2181.07,USD,7,A321neo,86,True,True,high,summer_peak,False,10.15,True,214.88,8,False,0.0,14,2026-06-03 00:00:00+00:00,1350.79,1169.31,950.58,0.1204,0.1386,0.0,0.0,0.3125
F000053,SQ,Singapore Airlines,star,SQ1760,FRA,Frankfurt,MAA,Chennai,2026-06-03 10:45:00+00:00,2026-06-03 20:54:00+00:00,609,0,,0,Economy,1259.13,USD,7,A330-300,86,False,False,high,summer_peak,False,10.15,True,124.05,10,False,0.0,14,2026-06-03 00:00:00+00:00,1350.79,1169.31,950.58,0.0685,0.1386,0.0,0.0,0.3125
F000054,AI,Air India,star,AI8255;AI9398,FRA,Frankfurt,MAA,Chennai,2026-06-03 09:15:00+00:00,2026-06-04 16:24:00+00:00,1869,1,SFO,60,Business,2454.21,USD,6,A320neo,74,True,True,high,summer_peak,False,31.15,False,78.79,9,False,1.0,26,2026-06-03 00:00:00+00:00,1350.79,1169.31,950.58,0.1357,0.4579,0.5,0.1258,0.6875
F000055,QR,Qatar Airways,oneworld,QR3577;QR2586;QR354,FRA,Frankfurt,MAA,Chennai,2026-06-03 11:15:00+00:00,2026-06-04 15:53:00+00:00,1718,2,NRT;SIN,276,Economy,689.67,USD,5,A320neo,79,True,False,high,summer_peak,False,28.63,False,24.09,11,False,4.6,21,2026-06-03 00:00:00+00:00,1350.79,1169.31,950.58,0.0365,0.4197,1.0,0.5786,0.5312
F000056,JL,Japan Airlines,oneworld,JL6472,GIG,Rio de Janeiro,SFO,San Francisco,2025-05-05 06:00:00+00:00,2025-05-05 19:57:00+00:00,837,0,,0,Economy,1087.54,USD,5,A380-800,89,False,True,medium,shoulder,False,13.95,True,77.96,6,False,0.0,11,2025-05-05 00:00:00+00:00,1681.14,1114.56,1183.26,0.0589,0.1964,0.0,0.0,0.2188
F000057,QR,Qatar Airways,oneworld,QR5281,GIG,Rio de Janeiro,SFO,San Francisco,2025-05-05 08:00:00+00:00,2025-05-05 21:57:00+00:00,837,0,,0,Premium Economy,2450.21,USD,5,E190,88,True,False,medium,shoulder,False,13.95,True,175.64,8,False,0.0,12,2025-05-05 00:00:00+00:00,1681.14,1114.56,1183.26,0.1355,0.1964,0.0,0.0,0.25
F000058,TK,Turkish Airlines,star,TK2012,GIG,Rio de Janeiro,SFO,San Francisco,2025-05-05 07:00:00+00:00,2025-05-05 20:57:00+00:00,837,0,,0,Economy,1134.51,USD,5,A330-300,86,False,False,medium,shoulder,False,13.95,True,81.33,7,False,0.0,14,2025-05-05 00:00:00+00:00,1681.14,1114.56,1183.26,0.0615,0.1964,0.0,0.0,0.3125
F000059,NH,ANA,star,NH4132;NH6271;NH6446,GIG,Rio de Janeiro,SFO,San Francisco,2025-05-05 07:00:00+00:00,2025-05-06 13:49:00+00:00,1849,2,LHR;FRA,301,Premium Economy,1541.93,USD,8,B777-300ER,82,True,False,medium,shoulder,False,30.82,False,50.03,7,False,5.02,18,2025-05-05 00:00:00+00:00,1681.14,1114.56,1183.26,0.0844,0.4529,1.0,0.6314,0.4375
F000060,KL,KLM,skyteam,KL8291;KL5782,GIG,Rio de Janeiro,SFO,San Francisco,2025-05-05 06:00:00+00:00,2025-05-06 12:58:00+00:00,1858,1,IST,201,Economy,736.26,USD,7,A321neo,86,False,False,medium,shoulder,False,30.97,False,23.77,6,False,3.35,14,2025-05-05 00:00:00+00:00,1681.14,1114.56,1183.26,0.0392,0.4551,0.5,0.4214,0.3125
F000061,KE,Korean Air,skyteam,KE5918;KE1126;KE3915,GIG,Rio de Janeiro,SFO,San Francisco,2025-05-05 07:00:00+00:00,2025-05-06 21:59:00+00:00,2339,2,DOH;FRA,325,Economy,691.55,USD,6,E190,80,False,False,medium,shoulder,False,38.98,False,17.74,7,False,5.42,20,2025-05-05 00:00:00+00:00,1681.14,1114.56,1183.26,0.0366,0.577,1.0,0.6818,0.5
F000062,QR,Qatar Airways,oneworld,QR6694;QR8574,GIG,Rio de Janeiro,SFO,San Francisco,2025-05-05 08:00:00+00:00,2025-05-06 10:27:00+00:00,1587,1,CDG,147,Premium Economy,1709.77,USD,9,A330-300,87,True,True,medium,shoulder,False,26.45,False,64.64,8,False,2.45,13,2025-05-05 00:00:00+00:00,1681.14,1114.56,1183.26,0.0939,0.3865,0.5,0.3082,0.2812
F000063,EK,Emirates,none,EK6156;EK7608;EK8076,SVO,Moscow,AKL,Auckland,2025-04-19 11:05:00+00:00,2025-04-21 08:04:00+00:00,2699,2,NRT;JFK,138,Economy,1025.1,USD,9,A321neo,84,False,False,medium,shoulder,False,44.98,False,22.79,11,False,2.3,16,2025-04-19 00:00:00+00:00,2636.3,2196.29,1698.7,0.0554,0.6683,1.0,0.2893,0.375
F000064,KE,Korean Air,skyteam,KE2920;KE732,SVO,Moscow,AKL,Auckland,2025-04-19 10:35:00+00:00,2025-04-20 11:27:00+00:00,1492,1,SIN,149,Economy,1346.58,USD,5,B737-800,81,True,False,medium,shoulder,False,24.87,False,54.14,10,False,2.48,19,2025-04-19 00:00:00+00:00,2636.3,2196.29,1698.7,0.0735,0.3624,0.5,0.3119,0.4688
F000065,AF,Air France,skyteam,AF7812;AF5407,SVO,Moscow,AKL,Auckland,2025-04-19 10:35:00+00:00,2025-04-20 11:45:00+00:00,1510,1,NRT,205,Business,4354.15,USD,5,A380-800,79,True,True,medium,shoulder,False,25.17,False,172.99,10,False,3.42,21,2025-04-19 00:00:00+00:00,2636.3,2196.29,1698.7,0.2425,0.367,0.5,0.4302,0.5312
F000066,EK,Emirates,none,EK5384,SVO,Moscow,AMS,Amsterdam,2026-01-19 13:40:00+00:00,2026-01-19 17:00:00+00:00,200,0,,0,Economy,238.04,USD,5,B787-9,93,True,False,low,winter_low,False,3.33,True,71.48,13,False,0.0,7,2026-01-19 00:00:00+00:00,358.71,274.79,250.04,0.0111,0.035,0.0,0.0,0.0938
F000067,DL,Delta,skyteam,DL3053,SVO,Moscow,AMS,Amsterdam,2026-01-19 12:40:00+00:00,2026-01-19 16:00:00+00:00,200,0,,0,Economy,221.01,USD,9,B787-9,84,False,True,low,winter_low,False,3.33,True,66.37,12,False,0.0,16,2026-01-19 00:00:00+00:00,358.71,274.79,250.04,0.0102,0.035,0.0,0.0,0.375
F000068,QR,Qatar Airways,oneworld,QR7574;QR8004,SVO,Moscow,AMS,Amsterdam,2026-01-19 14:10:00+00:00,2026-01-20 04:10:00+00:00,840,1,DOH,121,Economy,196.28,USD,4,A330-300,87,False,True,low,winter_low,False,14.0,False,14.02,14,False,2.02,13,2026-01-19 00:00:00+00:00,358.71,274.79,250.04,0.0088,0.1972,0.5,0.2541,0.2812
