flight_id,airline_code,airline_name,alliance,flight_numbers,origin,origin_city,destination,destination_city,departure_utc,arrival_utc,duration_minutes,stops,layover_airports,layover_minutes,cabin_class,price,currency,seats_available,aircraft_type,on_time_performance,baggage_included,refundable,demand_level,season,is_holiday_season
F000014,TK,Turkish Airlines,star,TK6755;TK9566,ICN,Seoul,DOH,Doha,2025-02-15T07:50:00Z,2025-02-16T00:16:00Z,986,1,SIN,95,Economy,492.26,USD,6,B787-9,79,False,True,low,winter_low,False
F000015,SQ,Singapore Airlines,star,SQ1882;SQ6387,ICN,Seoul,DOH,Doha,2025-02-15T07:20:00Z,2025-02-15T19:08:00Z,708,1,DXB,96,Economy,564.68,USD,7,A350-900,83,True,False,low,winter_low,False
F000016,AI,Air India,star,AI3097;AI9363,ICN,Seoul,DOH,Doha,2025-02-15T07:20:00Z,2025-02-16T16:55:00Z,2015,1,LAX,212,Economy,489.57,USD,5,A320neo,85,True,False,low,winter_low,False
F000017,LH,Lufthansa,star,LH1854;LH1199,FCO,Rome,GIG,Rio de Janeiro,2025-05-07T08:25:00Z,2025-05-08T12:50:00Z,1705,1,LAX,100,Economy,752.42,USD,4,B737-800,84,True,True,medium,shoulder,False
F000018,DL,Delta,skyteam,DL1895;DL3273;DL2256,FCO,Rome,GIG,Rio de Janeiro,2025-05-07T07:55:00Z,2025-05-08T07:27:00Z,1412,2,IST;AMS,311,Economy,525.78,USD,6,A380-800,73,False,False,medium,shoulder,False
F000019,KL,KLM,skyteam,KL3513;KL9797;KL4406,FCO,Rome,GIG,Rio de Janeiro,2025-05-07T06:55:00Z,2025-05-09T09:39:00Z,3044,2,SFO;DXB,303,Economy,661.86,USD,7,B767-300,79,True,False,medium,shoulder,False
F000020,BA,British Airways,oneworld,BA4229;BA8876,FCO,Rome,GIG,Rio de Janeiro,2025-05-07T06:55:00Z,2025-05-08T05:18:00Z,1343,1,JFK,170,Economy,708.86,USD,8,B777-300ER,79,False,False,medium,shoulder,False
F000021,KL,KLM,skyteam,KL8101,SIN,Singapore,AKL,Auckland,2025-05-30T10:35:00Z,2025-05-30T21:45:00Z,670,0,,0,Economy,953.79,USD,4,E190,86,False,True,medium,shoulder,False
F000022,TG,Thai Airways,star,TG1842,SIN,Singapore,AKL,Auckland,2025-05-30T10:05:00Z,2025-05-30T21:15:00Z,670,0,,0,Business,3053.81,USD,7,B737-800,88,True,True,medium,shoulder,False
F000023,AF,Air France,skyteam,AF9751,SIN,Singapore,AKL,Auckland,2025-05-30T09:35:00Z,2025-05-30T20:45:00Z,670,0,,0,Economy,811.37,USD,4,A350-900,88,True,False,medium,shoulder,False
F000024,LH,Lufthansa,star,LH5839;LH9843;LH9577,SIN,Singapore,AKL,Auckland,2025-05-30T10:05:00Z,2025-06-01T01:59:00Z,2394,2,AMS;NRT,126,Premium Economy,1048.78,USD,6,E190,80,True,False,medium,shoulder,False
F000025,QR,Qatar Airways,oneworld,QR3331;QR2430;QR6869,SIN,Singapore,AKL,Auckland,2025-05-30T11:35:00Z,2025-06-01T03:53:00Z,2418,2,AMS;NRT,150,Economy,540.46,USD,4,B767-300,84,False,False,medium,shoulder,False
F000026,UA,United Airlines,star,UA1418;UA7513,SIN,Singapore,AKL,Auckland,2025-05-30T11:35:00Z,2025-06-01T03:00:00Z,2365,1,FRA,151,Economy,698.48,USD,4,A350-900,85,False,False,medium,shoulder,False
F000027,UA,United Airlines,star,UA6468,DOH,Doha,AMS,Amsterdam,2025-12-10T22:25:00Z,2025-12-11T05:14:00Z,409,0,,0,Economy,583.16,USD,5,E190,87,True,False,medium,shoulder,False
F000028,TG,Thai Airways,star,TG7792,DOH,Doha,AMS,Amsterdam,2025-12-10T22:25:00Z,2025-12-11T05:14:00Z,409,0,,0,Premium Economy,1061.2,USD,6,B767-300,92,True,False,medium,shoulder,False
F000029,AF,Air France,skyteam,AF9444,DOH,Doha,AMS,Amsterdam,2025-12-10T22:55:00Z,2025-12-11T05:44:00Z,409,0,,0,Economy,468.41,USD,5,A350-900,87,True,False,medium,shoulder,False
F000030,QF,Qantas,oneworld,QF1211;QF864;QF1177,DOH,Doha,AMS,Amsterdam,2025-12-10T20:25:00Z,2025-12-12T07:53:00Z,2128,2,HKG;JFK,127,Economy,340.51,USD,9,E190,76,False,True,medium,shoulder,False
F000031,EK,Emirates,none,EK7917;EK1736;EK2273,DOH,Doha,AMS,Amsterdam,2025-12-10T22:55:00Z,2025-12-12T14:33:00Z,2378,2,CDG;SIN,294,Economy,403.05,USD,3,A350-900,80,True,False,medium,shoulder,False
F000032,QF,Qantas,oneworld,QF1710;QF5781,DOH,Doha,AMS,Amsterdam,2025-12-10T21:25:00Z,2025-12-12T05:17:00Z,1912,1,LAX,160,Business,1307.54,USD,6,A320neo,90,True,True,medium,shoulder,False
F000033,KL,KLM,skyteam,KL4369,HKG,Hong Kong,SFO,San Francisco,2025-04-04T13:50:00Z,2025-04-05T04:24:00Z,874,0,,0,Economy,1093.01,USD,7,A330-300,92,True,True,medium,shoulder,False
F000034,QR,Qatar Airways,oneworld,QR1900,HKG,Hong Kong,SFO,San Francisco,2025-04-04T15:50:00Z,2025-04-05T06:24:00Z,874,0,,0,Economy,1188.3,USD,8,A321neo,90,True,False,medium,shoulder,False
F000035,KE,Korean Air,skyteam,KE7113;KE9028,HKG,Hong Kong,SFO,San Francisco,2025-04-04T13:50:00Z,2025-04-05T16:32:00Z,1602,1,FRA,150,Economy,780.7,USD,7,A330-300,82,True,False,medium,shoulder,False
F000036,JL,Japan Airlines,oneworld,JL9589;JL3885;JL2165,HKG,Hong Kong,SFO,San Francisco,2025-04-04T14:20:00Z,2025-04-06T10:48:00Z,2668,2,LAX;ICN,271,First,4562.42,USD,5,B787-9,80,True,True,medium,shoulder,False
F000037,LH,Lufthansa,star,LH2573,NRT,Tokyo,PEK,Beijing,2025-07-16T10:25:00Z,2025-07-16T13:45:00Z,200,0,,0,Premium Economy,553.48,USD,3,A380-800,86,True,False,high,summer_peak,False
F000038,TG,Thai Airways,star,TG1850,NRT,Tokyo,PEK,Beijing,2025-07-16T09:55:00Z,2025-07-16T13:15:00Z,200,0,,0,First,1692.03,USD,4,A350-900,81,True,True,high,summer_peak,False
F000039,TK,Turkish Airlines,star,TK6637,NRT,Tokyo,PEK,Beijing,2025-07-16T09:55:00Z,2025-07-16T13:15:00Z,200,0,,0,Economy,351.39,USD,5,A350-900,80,False,False,high,summer_peak,False
F000040,LH,Lufthansa,star,LH7536;LH7186,NRT,Tokyo,PEK,Beijing,2025-07-16T09:55:00Z,2025-07-17T12:29:00Z,1594,1,FRA,228,Business,752.47,USD,4,A380-800,75,True,True,high,summer_peak,False
F000041,CX,Cathay Pacific,oneworld,CX5474;CX274,NRT,Tokyo,PEK,Beijing,2025-07-16T10:25:00Z,2025-07-17T12:18:00Z,1553,1,FRA,187,Economy,306.68,USD,5,B787-9,80,False,True,high,summer_peak,False
F000042,KE,Korean Air,skyteam,KE6958;KE6990;KE5869,BOM,Mumbai,SVO,Moscow,2025-08-12T08:15:00Z,2025-08-13T22:14:00Z,2279,2,SFO;FRA,309,Economy,419.84,USD,6,A380-800,69,True,False,high,summer_peak,False
F000043,TK,Turkish Airlines,star,TK7769;TK4922;TK9082,BOM,Mumbai,SVO,Moscow,2025-08-12T08:15:00Z,2025-08-13T19:50:00Z,2135,2,CDG;HKG,237,Economy,489.16,USD,7,A330-300,74,False,False,high,summer_peak,False
F000044,AF,Air France,skyteam,AF8794,DOH,Doha,MAA,Chennai,2026-01-21T16:00:00Z,2026-01-21T20:46:00Z,286,0,,0,Economy,373.1,USD,6,E190,86,True,True,low,winter_low,False
F000045,TK,Turkish Airlines,star,TK1763,DOH,Doha,MAA,Chennai,2026-01-21T16:30:00Z,2026-01-21T21:16:00Z,286,0,,0,Premium Economy,627.69,USD,8,A330-300,88,True,False,low,winter_low,False
F000046,BA,British Airways,oneworld,BA2601,DOH,Doha,MAA,Chennai,2026-01-21T16:30:00Z,2026-01-21T21:16:00Z,286,0,,0,Economy,362.37,USD,5,B777-300ER,89,False,True,low,winter_low,False
F000047,LH,Lufthansa,star,LH2040;LH4433,DOH,Doha,MAA,Chennai,2026-01-21T18:00:00Z,2026-01-22T09:52:00Z,952,1,IST,226,Economy,274.95,USD,7,A350-900,86,False,False,low,winter_low,False
F000048,SQ,Singapore Airlines,star,SQ4963;SQ7731,DOH,Doha,MAA,Chennai,2026-01-21T16:00:00Z,2026-01-23T06:57:00Z,2337,1,LAX,174,Economy,295.11,USD,6,B777-300ER,89,True,False,low,winter_low,False
F000049,NH,ANA,star,NH655;NH3595,DOH,Doha,MAA,Chennai,2026-01-21T16:30:00Z,2026-01-23T03:06:00Z,2076,1,JFK,179,Business,974.79,USD,9,B777-300ER,84,True,True,low,winter_low,False
F000050,QR,Qatar Airways,oneworld,QR963;QR4837,DOH,Doha,MAA,Chennai,2026-01-21T18:00:00Z,2026-01-22T01:50:00Z,470,1,DXB,142,Economy,276.32,USD,6,B737-800,90,False,False,low,winter_low,False
F000051,KL,KLM,skyteam,KL7883,FRA,Frankfurt,MAA,Chennai,2026-06-03T09:15:00Z,2026-06-03T19:24:00Z,609,0,,0,Economy,957.62,USD,6,A320neo,83,False,False,high,summer_peak,False
F000052,NH,ANA,star,NH9869,FRA,Frankfurt,MAA,Chennai,2026-06-03T08:45:00Z,2026-06-03T18:54:00Z,609,0,,0,Premium Economy,2181.07,USD,7,A321neo,86,True,True,high,summer_peak,False
F000053,SQ,Singapore Airlines,star,SQ1760,FRA,Frankfurt,MAA,Chennai,2026-06-03T10:45:00Z,2026-06-03T20:54:00Z,609,0,,0,Economy,1259.13,USD,7,A330-300,86,False,False,high,summer_peak,False
F000054,AI,Air India,star,AI8255;AI9398,FRA,Frankfurt,MAA,Chennai,2026-06-03T09:15:00Z,2026-06-04T16:24:00Z,1869,1,SFO,60,Business,2454.21,USD,6,A320neo,74,True,True,high,summer_peak,False
F000055,QR,Qatar Airways,oneworld,QR3577;QR2586;QR354,FRA,Frankfurt,MAA,Chennai,2026-06-03T11:15:00Z,2026-06-04T15:53:00Z,1718,2,NRT;SIN,276,Economy,689.67,USD,5,A320neo,79,True,False,high,summer_peak,False
F000056,JL,Japan Airlines,oneworld,JL6472,GIG,Rio de Janeiro,SFO,San Francisco,2025-05-05T06:00:00Z,2025-05-05T19:57:00Z,837,0,,0,Economy,1087.54,USD,5,A380-800,89,False,True,medium,shoulder,False
F000057,QR,Qatar Airways,oneworld,QR5281,GIG,Rio de Janeiro,SFO,San Francisco,2025-05-05T08:00:00Z,2025-05-05T21:57:00Z,837,0,,0,Premium Economy,2450.21,USD,5,E190,88,True,False,medium,shoulder,False
F000058,TK,Turkish Airlines,star,TK2012,GIG,Rio de Janeiro,SFO,San Francisco,2025-05-05T07:00:00Z,2025-05-05T20:57:00Z,837,0,,0,Economy,1134.51,USD,5,A330-300,86,False,False,medium,shoulder,False
F000059,NH,ANA,star,NH4132;NH6271;NH6446,GIG,Rio de Janeiro,SFO,San Francisco,2025-05-05T07:00:00Z,2025-05-06T13:49:00Z,1849,2,LHR;FRA,301,Premium Economy,1541.93,USD,8,B777-300ER,82,True,False,medium,shoulder,False
F000060,KL,KLM,skyteam,KL8291;KL5782,GIG,Rio de Janeiro,SFO,San Francisco,2025-05-05T06:00:00Z,2025-05-06T12:58:00Z,1858,1,IST,201,Economy,736.26,USD,7,A321neo,86,False,False,medium,shoulder,False
F000061,KE,Korean Air,skyteam,KE5918;KE1126;KE3915,GIG,Rio de Janeiro,SFO,San Francisco,2025-05-05T07:00:00Z,2025-05-06T21:59:00Z,2339,2,DOH;FRA,325,Economy,691.55,USD,6,E190,80,False,False,medium,shoulder,False
F000062,QR,Qatar Airways,oneworld,QR6694;QR8574,GIG,Rio de Janeiro,SFO,San Francisco,2025-05-05T08:00:00Z,2025-05-06T10:27:00Z,1587,1,CDG,147,Premium Economy,1709.77,USD,9,A330-300,87,True,True,medium,shoulder,False
F000063,EK,Emirates,none,EK6156;EK7608;EK8076,SVO,Moscow,AKL,Auckland,2025-04-19T11:05:00Z,2025-04-21T08:04:00Z,2699,2,NRT;JFK,138,Economy,1025.1,USD,9,A321neo,84,False,False,medium,shoulder,False
F000064,KE,Korean Air,skyteam,KE2920;KE732,SVO,Moscow,AKL,Auckland,2025-04-19T10:35:00Z,2025-04-20T11:27:00Z,1492,1,SIN,149,Economy,1346.58,USD,5,B737-800,81,True,False,medium,shoulder,False
F000065,AF,Air France,skyteam,AF7812;AF5407,SVO,Moscow,AKL,Auckland,2025-04-19T10:35:00Z,2025-04-20T11:45:00Z,1510,1,NRT,205,Business,4354.15,USD,5,A380-800,79,True,True,medium,shoulder,False
F000066,EK,Emirates,none,EK5384,SVO,Moscow,AMS,Amsterdam,2026-01-19T13:40:00Z,2026-01-19T17:00:00Z,200,0,,0,Economy,238.04,USD,5,B787-9,93,True,False,low,winter_low,False
F000067,DL,Delta,skyteam,DL3053,SVO,Moscow,AMS,Amsterdam,2026-01-19T12:40:00Z,2026-01-19T16:00:00Z,200,0,,0,Economy,221.01,USD,9,B787-9,84,False,True,low,winter_low,False
F000068,QR,Qatar Airways,oneworld,QR7574;QR8004,SVO,Moscow,AMS,Amsterdam,2026-01-19T14:10:00Z,2026-01-20T04:10:00Z,840,1,DOH,121,Economy,196.28,USD,4,A330-300,87,False,True,low,winter_low,False
F000069,SQ,Singapore Airlines,star,SQ6909;SQ2757,SVO,Moscow,AMS,Amsterdam,2026-01-19T14:10:00Z,2026-01-20T16:10:00Z,1560,1,SFO,115,Business,551.42,USD,4,A380-800,86,True,True,low,winter_low,False
F000070,NH,ANA,star,NH3676;NH4635,SVO,Moscow,AMS,Amsterdam,2026-01-19T12:10:00Z,2026-01-19T21:10:00Z,540,1,IST,166,Premium Economy,302.14,USD,8,A330-300,88,True,True,low,winter_low,False
F000071,AA,American Airlines,oneworld,AA9650;AA5146,SVO,Moscow,AMS,Amsterdam,2026-01-19T12:10:00Z,2026-01-19T17:58:00Z,348,1,FRA,90,Business,560.9,USD,5,A320neo,81,True,True,low,winter_low,False
F000072,EK,Emirates,none,EK6348;EK9542,BOM,Mumbai,PVG,Shanghai,2026-02-22T21:00:00Z,2026-02-23T12:59:00Z,959,1,NRT,237,Economy,388.06,USD,4,A380-800,87,False,False,low,winter_low,False
F000073,NH,ANA,star,NH418;NH1680,BOM,Mumbai,PVG,Shanghai,2026-02-22T20:00:00Z,2026-02-24T06:03:00Z,2043,1,JFK,134,Business,1308.27,USD,9,A350-900,82,True,True,low,winter_low,False
F000074,BA,British Airways,oneworld,BA8187;BA9699,BOM,Mumbai,PVG,Shanghai,2026-02-22T19:30:00Z,2026-02-23T18:29:00Z,1379,1,LHR,66,Economy,349.03,USD,8,A380-800,85,True,True,low,winter_low,False
F000075,AA,American Airlines,oneworld,AA8576,DXB,Dubai,SVO,Moscow,2025-08-21T21:10:00Z,2025-08-22T02:28:00Z,318,0,,0,Economy,574.92,USD,3,B737-800,85,True,False,high,summer_peak,False
F000076,UA,United Airlines,star,UA8796,DXB,Dubai,SVO,Moscow,2025-08-21T20:40:00Z,2025-08-22T01:58:00Z,318,0,,0,Premium Economy,894.77,USD,3,A321neo,81,True,False,high,summer_peak,False
F000077,TG,Thai Airways,star,TG3794,DXB,Dubai,SVO,Moscow,2025-08-21T19:10:00Z,2025-08-22T00:28:00Z,318,0,,0,Business,1866.64,USD,3,B777-300ER,80,True,True,high,summer_peak,False
F000078,QR,Qatar Airways,oneworld,QR866,DXB,Dubai,SVO,Moscow,2025-08-21T20:10:00Z,2025-08-22T01:28:00Z,318,0,,0,Economy,677.26,USD,2,A320neo,91,False,False,high,summer_peak,False
F000079,TK,Turkish Airlines,star,TK5794;TK2835,DXB,Dubai,SVO,Moscow,2025-08-21T20:40:00Z,2025-08-22T08:12:00Z,692,1,AMS,65,Economy,397.87,USD,2,A320neo,78,False,False,high,summer_peak,False
F000080,LH,Lufthansa,star,LH1539;LH9050,DXB,Dubai,SVO,Moscow,2025-08-21T18:40:00Z,2025-08-22T05:20:00Z,640,1,IST,202,Premium Economy,713.58,USD,4,B787-9,77,True,False,high,summer_peak,False
F000081,LH,Lufthansa,star,LH8495;LH9044;LH6377,DXB,Dubai,SVO,Moscow,2025-08-21T18:40:00Z,2025-08-22T09:50:00Z,910,2,LHR;FRA,179,Premium Economy,613.62,USD,6,B777-300ER,71,True,True,high,summer_peak,False
F000082,QR,Qatar Airways,oneworld,QR6928,DOH,Doha,LAX,Los Angeles,2025-09-02T10:55:00Z,2025-09-03T04:16:00Z,1041,0,,0,Economy,1602.4,USD,5,B737-800,90,True,True,medium,shoulder,False
F000083,EK,Emirates,none,EK1657,DOH,Doha,LAX,Los Angeles,2025-09-02T08:55:00Z,2025-09-03T02:16:00Z,1041,0,,0,Business,5762.4,USD,8,B787-9,96,True,True,medium,shoulder,False
F000084,JL,Japan Airlines,oneworld,JL6867,DOH,Doha,LAX,Los Angeles,2025-09-02T09:55:00Z,2025-09-03T03:16:00Z,1041,0,,0,Economy,1619.5,USD,9,A321neo,90,True,False,medium,shoulder,False
F000085,TK,Turkish Airlines,star,TK4899;TK5882,DOH,Doha,LAX,Los Angeles,2025-09-02T08:55:00Z,2025-09-03T08:32:00Z,1417,1,JFK,232,Economy,991.21,USD,6,B767-300,83,False,False,medium,shoulder,False
F000086,TG,Thai Airways,star,TG5406;TG4075,DOH,Doha,LAX,Los Angeles,2025-09-02T09:55:00Z,2025-09-03T07:32:00Z,1297,1,SFO,203,Economy,936.02,USD,5,A350-900,83,False,False,medium,shoulder,False
F000087,TK,Turkish Airlines,star,TK9843;TK5852,DOH,Doha,LAX,Los Angeles,2025-09-02T09:25:00Z,2025-09-03T10:09:00Z,1484,1,ICN,154,Premium Economy,1853.99,USD,6,A320neo,78,True,False,medium,shoulder,False
F000088,TG,Thai Airways,star,TG8785;TG1611,DOH,Doha,LAX,Los Angeles,2025-09-02T08:55:00Z,2025-09-03T14:36:00Z,1781,1,SIN,179,Economy,977.47,USD,4,B737-800,83,True,False,medium,shoulder,False
F000089,QF,Qantas,oneworld,QF3321;QF2970;QF8256,CPT,Cape Town,PEK,Beijing,2025-06-29T07:50:00Z,2025-07-01T07:03:00Z,2833,2,JFK;SIN,285,Economy,750.85,USD,8,E190,76,True,False,low,winter_low,False
F000090,CX,Cathay Pacific,oneworld,CX8135;CX7759,CPT,Cape Town,PEK,Beijing,2025-06-29T05:50:00Z,2025-06-30T05:32:00Z,1422,1,NRT,74,Economy,921.24,USD,8,B777-300ER,90,False,True,low,winter_low,False
F000091,SQ,Singapore Airlines,star,SQ4185,JFK,New York,CPT,Cape Town,2025-05-28T17:25:00Z,2025-05-29T09:47:00Z,982,0,,0,Economy,1407.17,USD,4,A320neo,91,True,False,medium,shoulder,False
F000092,TK,Turkish Airlines,star,TK5075,JFK,New York,CPT,Cape Town,2025-05-28T17:25:00Z,2025-05-29T09:47:00Z,982,0,,0,Economy,1217.58,USD,6,E190,91,True,False,medium,shoulder,False
F000093,AA,American Airlines,oneworld,AA3156;AA225,JFK,New York,CPT,Cape Town,2025-05-28T17:25:00Z,2025-05-29T15:25:00Z,1320,1,LHR,99,Economy,868.53,USD,5,B777-300ER,84,False,True,medium,shoulder,False
F000094,AA,American Airlines,oneworld,AA7236;AA672,JFK,New York,CPT,Cape Town,2025-05-28T16:55:00Z,2025-05-30T04:03:00Z,2108,1,ICN,174,Economy,894.72,USD,5,A320neo,81,True,True,medium,shoulder,False
F000095,TK,Turkish Airlines,star,TK9726,PVG,Shanghai,HKG,Hong Kong,2025-07-21T08:40:00Z,2025-07-21T10:54:00Z,134,0,,0,Economy,241.61,USD,4,B767-300,87,True,False,high,summer_peak,False
F000096,TK,Turkish Airlines,star,TK8505,PVG,Shanghai,HKG,Hong Kong,2025-07-21T08:10:00Z,2025-07-21T10:24:00Z,134,0,,0,Premium Economy,352.6,USD,2,B767-300,81,True,False,high,summer_peak,False
F000097,QF,Qantas,oneworld,QF570,PVG,Shanghai,HKG,Hong Kong,2025-07-21T09:40:00Z,2025-07-21T11:54:00Z,134,0,,0,Economy,281.94,USD,7,E190,90,True,True,high,summer_peak,False
F000098,AA,American Airlines,oneworld,AA1540;AA3809,PVG,Shanghai,HKG,Hong Kong,2025-07-21T09:40:00Z,2025-07-22T12:18:00Z,1598,1,CDG,104,Economy,156.36,USD,4,A330-300,78,False,False,high,summer_peak,False
F000099,QF,Qantas,oneworld,QF3076;QF4875;QF1987,PVG,Shanghai,HKG,Hong Kong,2025-07-21T08:40:00Z,2025-07-22T18:19:00Z,2019,2,DOH;LHR,275,Economy,160.48,USD,4,E190,73,False,False,high,summer_peak,False
F000100,TG,Thai Airways,star,TG9349;TG3829,PVG,Shanghai,HKG,Hong Kong,2025-07-21T08:10:00Z,2025-07-22T12:20:00Z,1690,1,CDG,196,Economy,166.81,USD,6,B787-9,76,False,False,high,summer_peak,False
F000101,NH,ANA,star,NH5319;NH3542,PVG,Shanghai,HKG,Hong Kong,2025-07-21T09:10:00Z,2025-07-22T10:57:00Z,1547,1,FRA,117,Business,584.78,USD,4,A321neo,78,True,True,high,summer_peak,False
F000102,DL,Delta,skyteam,DL2347;DL2337;DL8069,CPT,Cape Town,FCO,Rome,2025-08-15T10:05:00Z,2025-08-16T19:37:00Z,2012,2,HKG;IST,303,Economy,455.09,USD,9,B787-9,76,True,True,low,winter_low,False
F000103,QF,Qantas,oneworld,QF2636;QF9908;QF7655,CPT,Cape Town,FCO,Rome,2025-08-15T07:35:00Z,2025-08-16T22:25:00Z,2330,2,ICN;DXB,358,Economy,601.9,USD,7,A350-900,78,True,False,low,winter_low,False
F000104,NH,ANA,star,NH4843;NH2854;NH9234,CPT,Cape Town,FCO,Rome,2025-08-15T08:35:00Z,2025-08-16T05:46:00Z,1271,2,LHR;FRA,306,Economy,561.61,USD,4,A320neo,81,True,False,low,winter_low,False
F000105,QR,Qatar Airways,oneworld,QR4785;QR4219,CPT,Cape Town,FCO,Rome,2025-08-15T10:05:00Z,2025-08-16T13:00:00Z,1615,1,SIN,57,Business,2221.28,USD,9,A350-900,83,True,True,low,winter_low,False
F000106,TG,Thai Airways,star,TG6137,CPT,Cape Town,FRA,Frankfurt,2025-01-29T03:30:00Z,2025-01-29T15:54:00Z,744,0,,0,Economy,1284.05,USD,3,B767-300,83,False,False,high,summer_peak,False
F000107,JL,Japan Airlines,oneworld,JL1856,CPT,Cape Town,FRA,Frankfurt,2025-01-29T02:00:00Z,2025-01-29T14:24:00Z,744,0,,0,Economy,1395.66,USD,6,B777-300ER,84,False,False,high,summer_peak,False
F000108,KL,KLM,skyteam,KL3226;KL3676;KL6202,CPT,Cape Town,FRA,Frankfurt,2025-01-29T02:30:00Z,2025-01-30T11:29:00Z,1979,2,DXB;ICN,142,Premium Economy,1686.71,USD,2,A320neo,75,True,False,high,summer_peak,False
F000109,AA,American Airlines,oneworld,AA2794;AA6306,CPT,Cape Town,FRA,Frankfurt,2025-01-29T03:30:00Z,2025-01-30T15:22:00Z,2152,1,LAX,167,Economy,867.62,USD,4,A320neo,76,True,False,high,summer_peak,False
F000110,NH,ANA,star,NH3194,DEL,Delhi,ICN,Seoul,2026-04-26T05:55:00Z,2026-04-26T12:23:00Z,388,0,,0,Economy,567.58,USD,4,B787-9,88,False,True,medium,shoulder,False
F000111,AA,American Airlines,oneworld,AA5998,DEL,Delhi,ICN,Seoul,2026-04-26T04:55:00Z,2026-04-26T11:23:00Z,388,0,,0,Economy,487.34,USD,7,A350-900,90,False,False,medium,shoulder,False
F000112,SQ,Singapore Airlines,star,SQ3811;SQ8967;SQ9483,DEL,Delhi,ICN,Seoul,2026-04-26T05:25:00Z,2026-04-27T09:43:00Z,1698,2,CDG;AMS,416,Premium Economy,600.2,USD,8,A321neo,83,True,False,medium,shoulder,False
F000113,LH,Lufthansa,star,LH9017;LH2905,DEL,Delhi,ICN,Seoul,2026-04-26T04:55:00Z,2026-04-27T11:56:00Z,1861,1,SFO,172,Economy,402.63,USD,4,E190,84,True,True,medium,shoulder,False
F000114,UA,United Airlines,star,UA1536;UA3403,DEL,Delhi,ICN,Seoul,2026-04-26T05:55:00Z,2026-04-27T04:01:00Z,1326,1,CDG,85,Business,1310.53,USD,7,A321neo,84,True,True,medium,shoulder,False
F000115,NH,ANA,star,NH1732;NH5928,DEL,Delhi,ICN,Seoul,2026-04-26T06:55:00Z,2026-04-27T00:57:00Z,1082,1,IST,66,Economy,449.56,USD,7,B737-800,87,False,True,medium,shoulder,False
